dataset,budget,effective_budget_mean,effective_budget_std,method,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
external_j,0.05,0.05028866305508324,4.942860532247337e-05,cdro_ug,6,0.9070565241045477,0.012973956293590137,0.20989433237271854,0.056531588879888656,0.1856616474688053,0.07921529687893396
external_j,0.1,0.09980294462678108,0.0001219238931287614,noisy_ce,6,0.9023270061888979,0.012256460662150805,0.2079731027857829,0.020608489868323664,0.16119777535398802,0.07316442859070299
external_j,0.1,0.09980294462678108,0.0001219238931287614,cdro_fixed,6,0.9116028923276228,0.023361837810160782,0.15898174831892412,0.0814499952909147,0.24918309599161148,0.07785962299838506
external_j,0.1,0.09980294462678108,0.0001219238931287614,cdro_ug,6,0.9117485276844027,0.006665821286574742,0.22334293948126802,0.015496893184343588,0.19764214878280958,0.06783328097454489
external_j,0.2,0.20000461333649677,0.0001548762966770839,noisy_ce,6,0.904759114316137,0.01634568437075679,0.21517771373679154,0.0069933812577142335,0.1958947783956925,0.07607531407530502
external_j,0.2,0.20000461333649677,0.0001548762966770839,cdro_fixed,6,0.9004530258552819,0.017028297470761938,0.19068203650336216,0.07104816373146598,0.2429930604994297,0.08017539956331099
external_j,0.2,0.20000461333649677,0.0001548762966770839,cdro_ug,6,0.9061059774215523,0.012958627456578524,0.21998078770413065,0.02526982985199982,0.2087275286515554,0.0675166053923091
external_j,0.3,0.29980755796327785,3.295240354830864e-05,noisy_ce,6,0.8973934250132525,0.02679416522508257,0.20557156580211336,0.0287061533092871,0.19040833165248236,0.07975690261485237
external_j,0.3,0.29980755796327785,3.295240354830864e-05,cdro_fixed,6,0.9008447677979726,0.014801206979707304,0.19692603266090297,0.05446779059494654,0.23544800654053688,0.06926147764772311
external_j,0.3,0.29980755796327785,3.295240354830864e-05,cdro_ug,6,0.8991604238486273,0.011939439555541663,0.2079731027857829,0.02228647023654213,0.17769916914403439,0.06476305713555743
external_j,0.5,0.4998121712997746,0.00018782870022540643,noisy_ce,6,0.9101200085750978,0.011305331089662446,0.2281460134486071,0.04633161763633691,0.17913849155108133,0.04566027039017158
external_j,0.5,0.4998121712997746,0.00018782870022540643,cdro_fixed,6,0.9056126148502932,0.01753422581178056,0.18443804034582134,0.04610951008645533,0.22604192545016608,0.06771283997484266
external_j,0.5,0.4998121712997746,0.00018782870022540643,cdro_ug,6,0.9039538050883633,0.01047697015408413,0.2070124879923151,0.02558285107701398,0.2085342283050219,0.07507640406618787
external_j,1.0,1.0,0.0,noisy_ce,6,0.9098582800570879,0.01109897114051117,0.21950048030739672,0.038065686937703284,0.1790922855337461,0.047743313597459244
external_j,1.0,1.0,0.0,cdro_fixed,6,0.9069267260141023,0.01756428723508971,0.20989433237271854,0.06360583024362676,0.24610750998059908,0.0719429778296374
external_j,1.0,1.0,0.0,cdro_ug,6,0.9008746822260701,0.013635304397160111,0.19692603266090297,0.01916420494069165,0.16791036973396936,0.05977092880006855
