setting,scope,bucket_type,bucket,bucket_label,benign_total,ug_fpr,noisy_fpr,delta_fpr,delta_fp,ug_mean_prob_attack,noisy_mean_prob_attack,delta_mean_prob_attack
batch2,pooled,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,1200,0.14083333333333334,0.16,-0.019166666666666665,-23,0.23424005031585693,0.2561573012669881,-0.021917250951131173
batch2,pooled,group_bucket,high_rho_low_uncertainty,High-rho / low-u,1047,0.017191977077363897,0.07449856733524356,-0.05730659025787966,-60,0.2107135851039358,0.22672592762434265,-0.01601234252040684
batch2,pooled,group_bucket,high_rho_high_uncertainty,High-rho / high-u,1812,0.5518763796909493,0.609271523178808,-0.05739514348785868,-104,0.36145399000997314,0.39912478760641407,-0.03767079759644093
batch2,weak_temporal_ood,weak_bucket,abstain,Abstain,522,0.5651340996168582,0.6896551724137931,-0.12452107279693492,-65,0.3489201790528279,0.40074013019430227,-0.05181995114147436
batch2,weak_temporal_ood,weak_bucket,weak_benign,Weak benign,519,0.009633911368015413,0.08092485549132948,-0.07129094412331406,-37,0.23135050367528073,0.20599173029493503,0.0253587733803457
batch2,weak_temporal_ood,weak_bucket,weak_attack,Weak attack,0,0.0,0.0,0.0,0,0.0,0.0,0.0
batch2,weak_temporal_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,174,0.011494252873563218,0.05747126436781609,-0.04597701149425287,-8,0.23022678528708973,0.20367584831413182,0.026550936972957906
batch2,weak_temporal_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,156,0.1794871794871795,0.23717948717948717,-0.05769230769230768,-9,0.2608407460726224,0.25492399778121555,0.00591674829140687
batch2,weak_temporal_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,207,0.00966183574879227,0.13043478260869565,-0.12077294685990338,-25,0.23536015478309225,0.21131456531764228,0.024045589465449962
batch2,weak_temporal_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,504,0.5317460317460317,0.6507936507936508,-0.11904761904761907,-60,0.3427322856963627,0.39116309937976657,-0.04843081368340385
