setting,stress_kind,protocol,stress_level,method,n,covered_ratio_after_mean,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
main,coverage,weak_topology_ood,0.0,noisy_ce,3,1.0,0.9003559823029919,0.01356627209627522,0.2201693610469592,0.08394953582888738,0.17366957167784372,0.07572540218099663
main,coverage,weak_topology_ood,0.0,posterior_ce,3,1.0,0.8975766036639576,0.010308152755915255,0.17551963048498845,0.05065060554148108,0.19374770919481912,0.06899974313737424
main,coverage,weak_topology_ood,0.15,cdro_ug,3,0.8499669530733642,0.8938846355442133,0.024308180868456385,0.23941493456505003,0.13166673142431765,0.17552084475755692,0.08340513821008413
main,coverage,weak_topology_ood,0.15,noisy_ce,3,0.8499669530733642,0.9046423384662406,0.015286980129839436,0.17782909930715934,0.06661526605938085,0.17517591764529547,0.07546984378831322
main,coverage,weak_topology_ood,0.15,posterior_ce,3,0.8499669530733642,0.8978541178807474,0.01072010170708547,0.17551963048498845,0.05065060554148108,0.19606589525938034,0.06880706640256516
main,coverage,weak_topology_ood,0.3,cdro_ug,3,0.6999339061467283,0.8982325789198956,0.017900252835961424,0.2040030792917629,0.06914278641795815,0.17996899783611298,0.08182014037712176
main,coverage,weak_topology_ood,0.3,noisy_ce,3,0.6999339061467283,0.9061275549400631,0.015227218384628574,0.17090069284064666,0.06897544814350152,0.1756057689587275,0.07482242460140161
main,coverage,weak_topology_ood,0.3,posterior_ce,3,0.6999339061467283,0.8883157927504196,0.010781997112061114,0.27251732101616627,0.13041854876208311,0.20154808461666107,0.07158142335699187
main,coverage,weak_topology_ood,0.45,cdro_ug,3,0.5499008592200926,0.9022251059721785,0.014348343198572713,0.17859892224788299,0.06326146190624099,0.18124572932720184,0.08121160098144309
main,coverage,weak_topology_ood,0.45,noisy_ce,3,0.5499008592200926,0.900529770218452,0.011355144685889777,0.19630484988452657,0.04387990762124712,0.17639539142449698,0.07669614583680781
main,coverage,weak_topology_ood,0.45,posterior_ce,3,0.5499008592200926,0.8942378153713929,0.0039512779535498775,0.20092378752886836,0.01404795041639312,0.20671111841996512,0.071675986550451
batch2,coverage,weak_attack_strategy_ood,0.0,cdro_ug,3,1.0,0.9139664261178987,0.003914267262845703,0.19692603266090297,0.011646835401519836,0.14998083313306174,0.09653871993223523
batch2,coverage,weak_attack_strategy_ood,0.0,noisy_ce,3,1.0,0.9152320501496225,0.009297285173774221,0.19500480307396734,0.023293670803039644,0.17327003677686056,0.07256525794477775
batch2,coverage,weak_attack_strategy_ood,0.0,posterior_ce,3,1.0,0.9170803119032638,0.007986846424680175,0.18251681075888568,0.032391383861839325,0.1823161393404007,0.06968910716418307
batch2,coverage,weak_attack_strategy_ood,0.15,cdro_ug,3,0.8497370398196844,0.9130509401542345,0.002469011290358171,0.19692603266090297,0.010120704853845088,0.151167011509339,0.09407165974561102
batch2,coverage,weak_attack_strategy_ood,0.15,noisy_ce,3,0.8497370398196844,0.9125835625763815,0.0018333584408149754,0.19692603266090297,0.003327667257577088,0.19996418307224909,0.12792283651310324
batch2,coverage,weak_attack_strategy_ood,0.15,posterior_ce,3,0.8497370398196844,0.9121680290220262,0.011666443447831819,0.19500480307396734,0.04248481150335443,0.22153032074371973,0.09186712539101001
batch2,coverage,weak_attack_strategy_ood,0.3,cdro_ug,3,0.7002253944402704,0.9142011542074422,0.002597475160928256,0.19404418828049952,0.011646835401519836,0.15247374524672827,0.09796935798411437
batch2,coverage,weak_attack_strategy_ood,0.3,noisy_ce,3,0.7002253944402704,0.9163879904508875,0.009835387575855026,0.18635926993275698,0.019616309180271033,0.1532144583761692,0.09930172708837183
batch2,coverage,weak_attack_strategy_ood,0.3,posterior_ce,3,0.7002253944402704,0.917087930732957,0.008610100952598888,0.18251681075888568,0.0334012269946469,0.18594776093959808,0.07466850311197998
