setting,protocol,protocol_label,method,method_label,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std
batch2,topology_ood,Hard topology OOD,cdro_fixed,CDRO-Fixed,3,0.006513886885624798,0.00016429634613061516,0.12525252525252525,0.04697784223932722,0.46189863483111065,0.11651268661026247,0.4328253169854482,0.09217411731390103
batch2,topology_ood,Hard topology OOD,cdro_ug,CDRO-UG (sw0),3,0.006334575946517463,0.0002863999249488706,0.1797979797979798,0.08831310300765413,0.519072969754537,0.1395243563299124,0.4933355152606964,0.13936302220611166
batch2,attack_strategy_ood,Hard attack-strategy OOD,noisy_ce,Noisy-CE,3,0.029251092417361315,0.0005345329231678539,0.17373737373737375,0.022945084225455662,0.4133746425310771,0.08609564057364415,0.4128016034762065,0.07708978011920749
batch2,attack_strategy_ood,Hard attack-strategy OOD,cdro_fixed,CDRO-Fixed,3,0.027689482861305355,0.0017737781501680537,0.1696969696969697,0.053611533372588276,0.33231272796789807,0.1160571619469444,0.34710729122161865,0.07045036898936001
batch2,attack_strategy_ood,Hard attack-strategy OOD,cdro_ug,CDRO-UG (sw0),3,0.029472592135126447,0.000744997153276217,0.16464646464646465,0.03154039393130505,0.3810480237007141,0.13090581913458543,0.39247063795725506,0.09949050252255624
batch2,congestion_ood,Hard congestion OOD,noisy_ce,Noisy-CE,3,0.0677678840092033,0.02795659543226975,0.3276836158192091,0.07207542837385918,0.5048720637957255,0.10895548408060624,0.47264954447746277,0.12549297937097886
batch2,congestion_ood,Hard congestion OOD,cdro_fixed,CDRO-Fixed,3,0.06988012821093763,0.02707334928837453,0.2900188323917138,0.10209952987586408,0.4791161020596822,0.1256655609213265,0.4624967575073242,0.12348148301639188
batch2,congestion_ood,Hard congestion OOD,cdro_ug,CDRO-UG (sw0),3,0.06460103249697156,0.021187237407467953,0.2777777777777778,0.04522715615262834,0.4967986047267914,0.12582266952078822,0.4798111816247304,0.13630830469688984
batch2,pooled,Pooled hard suite,noisy_ce,Noisy-CE,12,0.032780421628237334,0.026039992345272996,0.2263653483992467,0.08386516390660692,0.4929170062144597,0.10745233991567343,0.4652082920074463,0.10728882240189926
batch2,pooled,Pooled hard suite,cdro_fixed,CDRO-Fixed,12,0.03267596760974625,0.026736428631164953,0.22831278890600926,0.10336699146969151,0.4566730397442977,0.12195438025482011,0.43566901485125226,0.09523419902742652
batch2,pooled,Pooled hard suite,cdro_ug,CDRO-UG (sw0),12,0.03176955565711599,0.023687568620326494,0.21792929292929292,0.07462938987431614,0.48117590447266895,0.11979225715011634,0.4652543365955353,0.10820722368866138
